"customer_id","first_name","last_name","email","phone","registration_date","loyalty_points"
51,Michele,Pena,raymondricky@example.net,+1-855-556-4632x40464,"2025-02-13",9254
52,Jeffery,Ayala,wriley@example.org,+1-285-931-2099x21725,"2025-02-11",4654
53,Aaron,Watkins,connercraig@example.net,"731.589.6732","2024-12-29",8561
54,Christopher,Dixon,wgill@example.com,"458.900.8360x47607","2023-09-09",5211
55,Mark,Lowe,mwatson@example.net,"804-939-5306x77872","2023-09-19",9530
56,Joseph,Guzman,emma95@example.com,"630-608-8426","2023-09-19",679
57,Zachary,Mckinney,david35@example.com,"001-690-602-8196x9400","2025-05-27",9271
58,Marie,Martinez,cindy84@example.net,"645.788.2333x2224","2025-02-13",8680
59,Valerie,Payne,schaefernicole@example.org,"001-992-350-4414","2024-04-22",4808
60,William,Medina,zdavis@example.com,"7529051546","2024-01-10",1733
61,Christopher,Fleming,andrewlong@example.com,"763.876.8301x937","2024-12-04",6933
62,Jamie,Jones,adriana94@example.com,"226-940-2872x127","2023-12-24",4989
63,Lori,Patterson,emilyjames@example.org,+1-788-369-9197,"2024-05-23",587
64,Allison,Mills,xwhite@example.org,+1-701-279-4611,"2025-05-06",2659
65,Jenna,Barber,johnsontaylor@example.net,"001-495-857-9784x55796","2023-11-13",9177
66,Gary,Moore,rivastara@example.com,"367-875-7513x996","2023-12-03",3148
67,Benjamin,Thomas,ageorge@example.org,+1-814-268-5843x29238,"2024-05-14",8517
68,Andrea,Casey,katelynvega@example.com,"539-771-5666","2024-01-16",9314
69,Megan,Brown,sandragentry@example.net,+1-873-445-7820x8021,"2025-01-19",2692
70,Mark,Castillo,sandra82@example.com,+1-405-676-5523x1795,"2024-10-24",4463
71,Amy,Colon,johnroberts@example.com,"966.891.4452","2024-08-02",6644
72,Christopher,Garcia,eric53@example.net,"9063339031","2024-09-08",9903
73,Leslie,Ramirez,aguilarjonathan@example.net,"643.847.9837","2025-05-13",8142
74,Catherine,Walker,uharvey@example.com,(605)966-3495,"2024-08-27",1348
75,Dustin,Anderson,lrodriguez@example.net,(228)896-7998x043,"2025-05-06",9017
76,Monica,Martinez,kirkeric@example.org,+1-353-412-0162x2908,"2023-06-03",8271
77,Kenneth,Sanford,morenorobert@example.com,"334-979-3874","2025-01-18",612
78,Kristina,Vincent,robinsonbrittany@example.com,"5715126012","2024-12-17",552
79,Christopher,Carter,tyler52@example.org,(461)616-7381x637,"2023-07-15",6158
80,Jason,Graham,bartonkevin@example.net,"398-338-5908x022","2024-04-14",8859
81,Nicholas,Lopez,christopher44@example.com,"751.692.0679","2023-07-16",3438
82,Shaun,Silva,ramirezmisty@example.org,(522)740-5092,"2023-11-24",3926
83,Anna,Castro,tgonzales@example.com,(729)320-6113,"2025-05-27",4499
84,Alicia,Barton,cbrown@example.net,(539)798-7739,"2024-02-13",4795
85,Emily,Hickman,danielleflowers@example.net,"271-771-4645","2025-03-07",5818
86,Sara,Leon,ericgriffin@example.net,"464-847-3821","2025-03-21",749
87,James,Little,daniel88@example.com,"001-243-404-9115x85267","2025-02-15",6571
88,Stephen,Smith,cynthia82@example.com,(615)955-2940,"2024-01-16",3535
89,Jessica,Vance,susanserrano@example.org,"418-968-7019x80741","2024-12-13",198
90,Christine,Johnson,blankenshipsheila@example.org,(879)253-6398x249,"2023-06-11",7491
91,Cassandra,Estes,butlerkristen@example.com,"621.561.4762x420","2023-09-21",7106
92,Michael,Thompson,smithreginald@example.net,(235)800-0858x84128,"2024-08-03",2442
93,Joseph,Huffman,millerjohn@example.net,"221.414.7106x28598","2025-03-21",281
94,Sarah,Russell,frazierlindsay@example.net,"001-857-559-4953x593","2024-12-31",7136
95,Nicole,Brewer,sethsharp@example.net,"497-323-0820x11352","2024-07-21",7169
96,Michael,Peters,morrislorraine@example.org,"981-431-7496x779","2023-07-04",447
97,William,Landry,millercheryl@example.net,+1-544-905-9017,"2024-06-04",8562
98,Victor,Williams,christopherhamilton@example.net,"6638702853","2025-01-03",5934
99,Molly,Davis,fanderson@example.net,"255.620.9583x4408","2025-03-04",4081
100,Steven,Harvey,epeterson@example.net,"462.503.1883x6228","2024-02-08",6012
